state_group,potential_type,param,value,unit,source
"2Sigma,2Pi",Morse,D_e,1.34,eV,Aubreton1986_TableauII
"2Sigma,2Pi",Morse,r_m,2.43,Angstrom,Aubreton1986_TableauII
"2Sigma,2Pi",Morse,beta,1.69,Angstrom^-1,Aubreton1986_TableauII
"2Sigma,2Pi",Exponential,V0,369,eV,Aubreton1986_TableauII
"2Sigma,2Pi",Exponential,B,2.031,Angstrom^-1,Aubreton1986_TableauII
"2Sigma_1/2u,2Sigma_1/2g,2Pi_3/2g,2Pi_3/2u",Morse,D_e,0.21,eV,Aubreton1986_TableauII
"2Sigma_1/2u,2Sigma_1/2g,2Pi_3/2g,2Pi_3/2u",Morse,r_m,3.08,Angstrom,Aubreton1986_TableauII
"2Sigma_1/2u,2Sigma_1/2g,2Pi_3/2g,2Pi_3/2u",Morse,beta,1.63,Angstrom^-1,Aubreton1986_TableauII
"2Sigma_1/2u,2Sigma_1/2g,2Pi_3/2g,2Pi_3/2u",Exponential_lowE,V0,2.685e6,eV,Aubreton1986_TableauII
"2Sigma_1/2u,2Sigma_1/2g,2Pi_3/2g,2Pi_3/2u",Exponential_lowE,B,5.889,Angstrom^-1,Aubreton1986_TableauII
"2Sigma_1/2u,2Sigma_1/2g,2Pi_3/2g,2Pi_3/2u",Exponential_highE,V0,29100,eV,Aubreton1986_TableauII
"2Sigma_1/2u,2Sigma_1/2g,2Pi_3/2g,2Pi_3/2u",Exponential_highE,B,4.154,Angstrom^-1,Aubreton1986_TableauII
"2Pi_1/2g,2Pi_1/2u",Morse,D_e,0.1,eV,Aubreton1986_TableauII
"2Pi_1/2g,2Pi_1/2u",Morse,r_m,3.16,Angstrom,Aubreton1986_TableauII
"2Pi_1/2g,2Pi_1/2u",Morse,beta,1.795,Angstrom^-1,Aubreton1986_TableauII
"2Pi_1/2g,2Pi_1/2u",Exponential,V0,1.655e4,eV,Aubreton1986_TableauII
"2Pi_1/2g,2Pi_1/2u",Exponential,B,3.88,Angstrom^-1,Aubreton1986_TableauII
