param,value,unit,source
A_star,1.13211845e5,dimensionless,Aziz1990_TableI
alpha_star,9.00053441,dimensionless,Aziz1990_TableI
c6,1.09971113,dimensionless,Aziz1990_TableI
c8,0.54511632,dimensionless,Aziz1990_TableI
c10,0.39278653,dimensionless,Aziz1990_TableI
C6,64.3,atomic_units,Aziz1990_TableI
C8,1610,atomic_units,Aziz1990_TableI
C10,58600,atomic_units,Aziz1990_TableI
beta_star,-2.60270226,dimensionless,Aziz1990_TableI
beta,-0.1840,Angstrom^-2,Aziz1990_TableI
D,1.0400,dimensionless,Aziz1990_TableI
epsilon_over_k,143.25,K,Aziz1990_TableI
r_m,3.761,Angstrom,Aziz1990_TableI
sigma,3.3560,Angstrom,Aziz1990_TableI
r1,2.73,Angstrom,Aziz1990_TableIIa
r2,2.98,Angstrom,Aziz1990_TableIIa
a1,3.1790298,dimensionless,Aziz1990_TableIIa
a2,18.991157,dimensionless,Aziz1990_TableIIa
a3,1044.13619,dimensionless,Aziz1990_TableIIa
a4,80.983465,dimensionless,Aziz1990_TableIIa
B,5780,eV,Aziz1990_TableIIb
b,3.6182,Angstrom^-1,Aziz1990_TableIIb
