g,Prefix,Level (eV),Suffix,Reference
1,"=""""","=""0.0000000""","=""""","=""L15349"""
3,"=""""","=""0.0946292""","=""""","=""L15349"""
5,"=""""","=""0.251534""","=""""","=""L15349"""
5,"=""""","=""2.020776""","=""""","=""L15349"""
1,"=""""","=""4.70054""","=""""","=""L15349"""
5,"=""""","=""10.42794""","=""+x""","=""L15349"""
3,"=""""","=""15.08004""","=""""","=""L15349"""
5,"=""""","=""15.08578""","=""""","=""L15349"""
7,"=""""","=""15.10166""","=""""","=""L15349"""
5,"=""""","=""17.57632""","=""""","=""L15349"""
3,"=""""","=""17.57730""","=""""","=""L15349"""
1,"=""""","=""17.59244""","=""""","=""L15349"""
5,"=""""","=""19.11978""","=""""","=""L15349"""
3,"=""""","=""23.74754""","=""""","=""L15349"""
3,"=""""","=""24.22102""","=""""","=""L15349"""
5,"=""""","=""26.9755""","=""""","=""L15349"""
3,"=""""","=""27.0641""","=""""","=""L15349"""
1,"=""""","=""27.1088""","=""""","=""L15349"""
5,"=""""","=""27.5016""","=""""","=""L15349"""
3,"=""""","=""27.7996""","=""""","=""L15349"""
5,"=""""","=""27.8342""","=""""","=""L15349"""
7,"=""""","=""27.8600""","=""""","=""L15349"""
7,"=""""","=""30.4168""","=""""","=""L15349"""
3,"=""""","=""31.2615""","=""""","=""L15349"""
5,"=""""","=""32.78515""","=""""","=""L15349"""
3,"=""""","=""32.92867""","=""""","=""L15349"""
1,"=""""","=""32.9891""","=""""","=""L15349"""
5,"=""""","=""34.53240""","=""""","=""L15349"""
1,"=""""","=""36.6660""","=""""","=""L15349"""
3,"=""""","=""36.7280""","=""""","=""L15349"""
5,"=""""","=""36.9322""","=""""","=""L15349"""
3,"=""""","=""37.3552""","=""""","=""L15349"""
1,"=""""","=""40.2778""","=""""","=""L15349"""
3,"=""""","=""48.7019""","=""+x""","=""L15349"""
5,"=""""","=""48.7951""","=""+x""","=""L15349"""
7,"=""""","=""48.9301""","=""+x""","=""L15349"""
5,"=""""","=""49.2807""","=""""","=""L15349"""
3,"=""""","=""49.2893""","=""""","=""L15349"""
7,"=""""","=""49.3209""","=""""","=""L15349"""
5,"=""""","=""49.4681""","=""""","=""L15349"""
7,"=""""","=""49.5301""","=""""","=""L15349"""
5,"=""""","=""49.9225""","=""""","=""L15349"""
3,"=""""","=""49.9886""","=""""","=""L15349"""
7,"=""""","=""50.1709""","=""""","=""L15349"""
7,"=""""","=""50.9790""","=""""","=""L15349"""
3,"=""""","=""53.3542""","=""""","=""L15349"""
5,"=""""","=""53.5666""","=""""","=""L15349"""
3,"=""""","=""53.6080""","=""""","=""L15349"""
,"=""[""","=""74.84""","=""]""","=""L11770"""
